	Completeness	Name	Class	Definition
M00120	0.3333333333333333	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K00867,K03525,K01947,K09680) ((K01922,K21977) K01598,K13038) (K02318,(K00954,K02201) K00859) K01922 phosphopantothenate---cysteine ligase (ATP)
M00051	0.3333333333333333	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591) K11540,K11541,K00609+K00610,K00608 aspartate carbamoyltransferase
M00155	0.3333333333333333	Cytochrome c oxidase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02275+(K02274+K02276,K15408)-(K02277,K27109) K02274 coxA; cytochrome c oxidase subunit I
M00309	0.3333333333333333	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K05308 (K11395,K18127) (K18020+K18021+K18022,K18128,K03738) K11395 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase
M00019	0.3333333333333333	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K01652+(K01653,K11258) K00053 K01687 K00826 K00053 ketol-acid reductoisomerase
M00023	0.3333333333333333	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	(((K01657+K01658,K13503,K13501,K01656) K00766),K13497) (((K01817,K24017) (K01656,K01609)),K13498,K13501) (K01695+(K01696,K06001),K01694) K00766,K13497 anthranilate phosphoribosyltransferase
M00022	0.3333333333333333	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	(K01626,K03856,K13853) (((K01735,K13829) ((K03785,K03786) K00014,K13832)),K13830) ((K00891,K13829) (K00800,K24018),K13830) K01736 K01735,K13830,K13829 3-dehydroquinate synthase
M00972	0.3333333333333333	Proline metabolism	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00819 K00286 K00318 K00286 pyrroline-5-carboxylate reductase
M00897	0.3333333333333333	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03146 K03147 K14153 K22911 K00949 K03147 THIC; phosphomethylpyrimidine synthase
M00697	0.3333333333333333	Multidrug resistance, efflux pump MdtEF-TolC	Signature modules; Gene set; Drug resistance AUTHORS   Nishino K, Yamaguchi A TITLE     EvgA of the two-component signal transduction system modulates production of the yhiUV multidrug transporter in Escherichia coli. JOURNAL   J Bacteriol 184:2319-23 (2002) DOI:10.1128/JB.184.8.2319-2323.2002 AUTHORS   Fernandez L, Hancock RE TITLE     Adaptive and mutational resistance: role of porins and efflux pumps in drug resistance. JOURNAL   Clin Microbiol Rev 25:661-81 (2012) DOI:10.1128/CMR.00043-12 AUTHORS   Poole K TITLE     Efflux-mediated multiresistance in Gram-negative bacteria. JOURNAL   Clin Microbiol Infect 10:12-26 (2004) DOI:10.1111/j.1469-0691.2004.00763.x	K07690 K18898+K18899+K12340 K18898
M00810	0.3333333333333333	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K19818+K19819+K19820 (K19826,K19890) K19185+K19186+K19187 K19188 -K20155 K19826 (S)-6-hydroxynicotine oxidase
M00804	0.3333333333333333	Complete nitrification, comammox, ammonia => nitrite => nitrate	Pathway modules; Energy metabolism; Nitrogen metabolism	K10944+K10945+K10946 K10535 K00370+K00371 K10535 hydroxylamine oxidase
M00718	0.3333333333333333	Multidrug resistance, efflux pump MexAB-OprM	Signature modules; Gene set; Drug resistance AUTHORS   Evans K, Adewoye L, Poole K TITLE     MexR repressor of the mexAB-oprM multidrug efflux operon of Pseudomonas aeruginosa: identification of MexR binding sites in the mexA-mexR intergenic region. JOURNAL   J Bacteriol 183:807-12 (2001) DOI:10.1128/JB.183.3.807-812.2001 AUTHORS   Boutoille D, Corvec S, Caroff N, Giraudeau C, Espaze E, Caillon J, Plesiat P, Reynaud A TITLE     Detection of an IS21 insertion sequence in the mexR gene of Pseudomonas aeruginosa increasing beta-lactam resistance. JOURNAL   FEMS Microbiol Lett 230:143-6 (2004) DOI:10.1016/S0378-1097(03)00882-6	K18131 K03585+K18138+K18139 K03585
