	Completeness	Name	Class	Definition
M00563	0.25	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Pathway modules; Energy metabolism; Methane metabolism	K14082 ((K16177-K16176),(K16179-K16178),(K14084-K14083)) K00399+K00401+K00402 (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125)) K16176 mtmB; methylamine---corrinoid protein Co-methyltransferase
M00975	0.25	Betaine degradation, bacteria, betaine => pyruvate	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00479+K21832 (((K00309,K00315) (K00301,K00302+K00303+K00304+K00305)),K21833+K21834+K25960+K25961) K00600 (K01752,K01754) K00309 dimethylglycine oxidase
M00774	0.25	Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	K10817+K24563+K24564 K14366 K14367 K14368+K15997 K14370 K14369 K14366 eryF; 6-deoxyerythronolide B hydroxylase
M00147	0.24489795918367346	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	Pathway modules; Energy metabolism; ATP synthesis	K03957+K03958+K03959+K03960+K03961+K03962+K03963+K03964+K03965+K03966+K11351+K03967+K03968 K03958 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 2 K03959 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3 K03960 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 4 K03961 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 5 K03962 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 6 K03963 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7 K03964 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 K03965 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 9 K03966 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 10 K11351 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 11 K03967 NADH dehydrogenase (ubiquinone) 1 subcomplex unknown 1 K03968 NADH dehydrogenase (ubiquinone)
M00160	0.23529411764705882	V-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02145+K02147+K02148+K02149+K02150+K02151+K02152+K02144+K02154+(K03661,K02155)+K02146+K02153+K03662 K02147
M00736	0.2222222222222222	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams	K19102+K19103+K05375 K19104 K19105 K19106 K05375 MbtH protein
M00775	0.2222222222222222	Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	K16007+K24565+K24566 K16008 K16009 K13320 K16010 K16008 oleP; cytochrome P450 monooxygenase OleP
M00848	0.21428571428571427	Aurachin biosynthesis, anthranilate => aurachin A	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics	K09460 K02078+K14245+K14246+K22798 K22799 K22800 K21272 K21271 K22801 K22802 K02078 auaB; acyl carrier protein
M00573	0.2	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K16593 K00652 K19563 K01935 K01012 K00652 bioF; 8-amino-7-oxononanoate synthase
M00538	0.2	Toluene degradation, toluene => benzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K15760+K15761-K15762+K15763+K15764-K15765 K00055 K00141 K00055 xylB; aryl-alcohol dehydrogenase
M00537	0.2	Xylene degradation, xylene => methylbenzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K15757+K15758 K00055 K00141 K15758 xylene monooxygenase electron transfer component
M00033	0.2	Ectoine biosynthesis, aspartate => ectoine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00928 K00133 K00836 K06718 K06720 K00133 aspartate-semialdehyde dehydrogenase
M00072	0.2	N-glycosylation by oligosaccharyltransferase	Pathway modules; Glycan metabolism; Glycan biosynthesis	K07151+K12666+K12667+K12668+K12670-K12669-K00730-K12691-K26502-K28202 K12666 OST1; oligosaccharyltransferase complex subunit alpha (ribophorin I) K12667 SWP1; oligosaccharyltransferase complex subunit delta (ribophorin II)
M00892	0.2	UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00820 K00621 K01836 K00972 K00621 GNPNAT1; glucosamine-phosphate N-acetyltransferase
M00953	0.2	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K00789 K05953 K14271 K22374 K18054 K05953 nicotianamine synthase
M00730	0.2	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	Signature modules; Gene set; Drug resistance	K19077 K19078 K19079+K19080 K19078
M00623	0.2	Phthalate degradation, phthalate => protocatechuate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K18068+K18069 K18067 K04102 K18067 phthalate 4,5-cis-dihydrodiol dehydrogenase
M00550	0.2	Ascorbate degradation, ascorbate => D-xylulose-5P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K02821+K02822+K03475 K03476 K03078 K03079 K03077 K03476 L-ascorbate 6-phosphate lactonase
M00636	0.2	Phthalate degradation, phthalate => protocatechuate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K18251+K18252-K18253-K18254 K18255 K18256 K18255 phtB; phthalate 3,4-cis-dihydrodiol dehydrogenase
M00419	0.2	Cymene degradation, p-cymene => p-cumate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K10616+K18293 K10617 K10618 K18293 cymAb; p-cymene methyl-monooxygenase electron transfer component
M00649	0.2	Multidrug resistance, efflux pump AdeABC	Signature modules; Gene set; Drug resistance	K18143 K18144 K18145+K18146-K18147 K18144
M00358	0.18181818181818182	Coenzyme M biosynthesis	Pathway modules; Energy metabolism; Methane metabolism	K08097 K05979 K05884 K13039+K06034 K05979 2-phosphosulfolactate phosphatase
M00971	0.16666666666666666	QS-7 biosynthesis, 2,3-epoxysqualene => QS-7	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K15813 K20667 K26481 K26482 K26483 K26484 K26485 K26487+K26488 K26489 K26490 K26491 K26493+K26494+K26495 K20667 beta-amyrin 28-monooxygenase
M00935	0.16666666666666666	Methanofuran biosynthesis	Pathway modules; Energy metabolism; Methane metabolism	K09733 K19793 K07144 K18933 K06914 K07072 K19793 mfnC; (5-formylfuran-3-yl)methyl phosphate transaminase
M00633	0.16666666666666666	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K05308 K18126 K11395 K18978 K18126 2-dehydro-3-deoxygluconokinase
M00808	0.16666666666666666	Violacein biosynthesis, tryptophan => violacein	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	K20086 K20087+K20088 K20089 K20090 K20087 vioB; violacein biosynthesis protein VioB
M00937	0.15	Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds	K15316 K17643 K17644 K17645 K17652 K17646 K24440 K24855 K17648 K24439 K24856+K24438+K24857+K24858 K17649 K17650 K17651 K17643 noranthrone monooxygenase
M00552	0.14285714285714285	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01684 K00883 K01631 K00134 K00927 K00883 2-dehydro-3-deoxygalactonokinase
M00939	0.14285714285714285	Pyrimidine degradation, uracil => 3-hydroxypropanoate	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K09018+K09024 K09020 K09021 K09023 (K09019,K16066) K09020 rutB; ureidoacrylate peracid hydrolase
M00845	0.14285714285714285	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K22478 K00145 K00821 K09065 K01438 K01940 K01755 K00145 argC; N-acetyl-gamma-glutamyl-phosphate reductase
M00867	0.14285714285714285	KDO2-lipid A modification pathway	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K12977 K03760 K23082+K23083 K23159 K09953 K03760 eptA; lipid A ethanolaminephosphotransferase
M00114	0.125	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225 K17497 phosphomannomutase
M00009	0.125	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116) K05942 citrate (Re)-synthase
M00826	0.125	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis	K20159+K21175 K20156 K21176 K21177 K21178 K21179 K21175 sgcD1; 2-amino-4-deoxychorismate synthase, glutamine amidotransferase component
M00789	0.125	Rebeccamycin biosynthesis, tryptophan => rebeccamycin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	K14266 K19884 K19885 K19886+K19887 K19888 K19889 K19884 rebO; 7-chloro-L-tryptophan oxidase
M00525	0.1111111111111111	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586 K00133 aspartate-semialdehyde dehydrogenase
M00805	0.1111111111111111	Staurosporine biosynthesis, tryptophan => staurosporine	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	K20075 K20076 K20077+K20078 K20079 K20080 K20081 K20082 K20076 staD; chromopyrrolic acid synthase
M00823	0.1	Chlortetracycline biosynthesis, pretetramide => chlortetracycline	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	K14251 K14252 K14253 K14254 K14255 K14256 K21301 K14257+K21297 K14252 oxyL; 6-methylpretetramide 4-monooxygenase / 4-hydroxy-6-methylpretetramide 12a-monooxygenase
M00837	0.08333333333333333	Prodigiosin biosynthesis, L-proline => prodigiosin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	K21780+K21781 K21782 K21783 K21784 K21785 K21786 K21428 K21778 K21779 K21787 K21781 pigG; peptidyl carrier protein
M00838	0.08333333333333333	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	K21780+K21781 K21782 K21783 K21784 K21785 K27675 K21791 K21792 K21793 K21787 K21781 redO; peptidyl carrier protein
